ID,titulacao,tipo_vinculo,dat_admissao,tempo_de_casa,cargo,regime_trabalho_mec,horas_totais,qtd_disciplina,qtd_alunos,horas_disciplina,horas_atv_dedicacao,nota_prof
20,Mestre              ,Aulista,02/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,7,213,24,12,4.47
21,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,6,169,48,16.67,4.29
22,Doutor              ,Aulista,01/03/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,82,14,23.67,3.49
23,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,38,7,180,24,10,4.37
24,Especialista        ,Aulista,01/08/2007,11,PROF.  ASSISTENTE II,Regime de Tempo Parcial,25.33,4,133,32,16,4.48
25,Doutor              ,Aulista,05/02/2007,12,PROF. ADJUNTO IV,Regime de Tempo Parcial,27.33,6,281,44,4,3.65
26,Mestre              ,Aulista,02/08/2007,11,PROF.  ASSISTENTE IV,Horista,26,4,174,20,2.67,3.7
27,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,69,8,30.67,3.6
28,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,92,8,0,3.58
29,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,8,380,56,7.33,4.66
30,Doutor              ,Aulista,02/08/2010,8,PROF. ADJUNTO IV,Regime de Tempo Parcial,29.33,5,207,68,6,4.68
31,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,53,16,0,4.68
32,Doutor              ,Regime,01/09/2000,18,PROF. ADJUNTO IV,Regime de Tempo Parcial,24.67,4,154,15,7.17,4.05
33,Mestre              ,Regime,01/03/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,230,25,10.84,4.5
34,Mestre              ,Aulista,01/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,7,176,30,14.33,4.47
35,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,9.33,2,75,8,0,4.26
36,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,16,6,30.67,4.82
37,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,100,8,0,3.11
38,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Horista,9.33,1,120,8,0,4.72
39,Mestre              ,Regime,01/03/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,32.67,3,189,20,18.67,4.33
40,Mestre              ,Aulista,02/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,99,18,19,4.79
41,Mestre              ,Aulista,14/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,115,14,23.67,4.51
42,Doutor              ,Aulista,02/08/2004,14,PROF. ADJUNTO IV,Regime de Tempo Parcial,12.83,4,92,11,0,4.32
43,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,89,10,28.33,3.29
44,Mestre              ,Aulista,01/02/2001,18,PROF.  ASSISTENTE IV,Horista,18.67,6,183,16,0,4.28
45,Mestre              ,Aulista,01/08/2003,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,36.5,4,211,25,7.33,4.41
46,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,28.17,5,106,22,4.83,4.31
47,Doutor              ,Aulista,04/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,40,13,116,33,5,4.65
48,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,231,36,16.67,4.94
49,Especialista        ,Aulista,01/08/2001,17,PROF.  ASSISTENTE II,Regime de Tempo Parcial,27.33,4,185,52,4,3.24
50,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Regime de Tempo Parcial,23.33,2,7,20,0,4.81
51,Doutor              ,Regime,01/02/2012,7,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,84,10,28.34,4.66
52,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Horista,18.67,4,67,16,0,4.7
53,Mestre              ,Aulista,02/02/2005,14,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,181,20,16.67,4.73
54,Doutor              ,Aulista,03/02/2014,5,PROF. ADJUNTO I,Horista,14,3,45,12,0,4.89
55,Especialista        ,Aulista,22/02/2002,17,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,5,101,16,21.33,2.75
56,Mestre              ,Regime,01/02/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,137,17,20.17,4.3
57,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,9.33,2,49,8,0,4.29
58,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,18.33,3,168,14,2,4.37
59,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE II,Regime de Tempo Parcial,40,8,313,39,8.5,4.6
60,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,62,5,29.5,3.91
61,Mestre              ,Aulista,18/02/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,8,117,24,12,4.45
62,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,26.83,3,168,22,2.33,4.73
63,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,168,31,17.83,3.67
64,Mestre              ,Aulista,04/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,29.67,3,217,16,11,3.66
65,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,39.5,8,256,26,6.83,3.17
66,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,16.33,2,49,14,0,3.69
67,Doutor              ,Aulista,02/02/2009,10,PROF. ADJUNTO IV,Horista,24.5,5,265,21,0,4.07
68,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,3,106,36,0,3.38
69,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20.83,3,93,10,9.17,4.74
70,Mestre              ,Aulista,28/07/2014,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,40,7,264,34,12,4.44
71,Mestre              ,Aulista,06/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,2,41,8,30.67,4.77
72,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,7,298,68,16.67,4.04
73,Doutor              ,Aulista,04/08/2008,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,92,16,21.33,4.79
74,Mestre              ,Aulista,01/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,39.95,5,129,29,5,4.49
75,Especialista        ,Aulista,07/02/2008,11,PROF.  ASSISTENTE II,Regime de Tempo Parcial,35,5,38,13,19.83,4.77
76,Mestre              ,Aulista,03/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,31.67,5,213,42,6,4.44
77,Mestre              ,Aulista,29/02/2016,3,PROF.  ASSISTENTE I,Horista,4.2,2,34,3,0,3.95
78,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Horista,4.67,1,48,4,0,3.94
79,Mestre              ,Aulista,03/08/2001,17,PROF.  ASSISTENTE IV,Horista,37,7,250,66,2,3.84
80,Doutor              ,Aulista,01/09/2000,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,45,8,30.67,4.84
81,Mestre              ,Aulista,01/08/2000,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,32.33,6,103,20,9,4.12
82,Doutor              ,Regime,03/08/2009,9,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,91,12,26,3.97
83,Mestre              ,Aulista,28/07/2014,4,PROF.  ASSISTENTE I,Regime de Tempo Parcial,26.33,4,180,20,3,4.74
84,Mestre              ,Aulista,01/02/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,26.33,3,147,26,10,4.29
85,Mestre              ,Aulista,01/02/2006,13,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,33.1,5,82,17,13,4.46
86,Mestre              ,Aulista,05/09/2002,16,PROF.  ASSISTENTE IV,Horista,32.67,7,266,100,0,4.25
87,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,56,8,0,3.81
88,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,2,108,12,0,3.67
89,Mestre              ,Regime,01/03/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,165,24,12,3.42
90,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,16.33,4,201,14,0,4.11
91,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,3,83,11,0,4.87
92,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,186,26,9.67,3.5
93,Doutor              ,Aulista,02/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,271,21,15.5,4.62
94,Mestre              ,Regime,01/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,135,17,20.17,4.08
95,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,3,73,18,0,4.62
96,Doutor              ,Aulista,07/02/2008,11,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,47,8,30.67,4.76
97,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,22.17,5,136,19,0,4.51
98,Mestre              ,Aulista,01/02/2002,17,PROF.  ASSISTENTE IV,Horista,18.67,4,111,16,0,4.39
99,Mestre              ,Aulista,01/08/2007,11,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20.5,3,107,9,10,4.66
100,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,7,1,30,6,0,3.18
101,Doutor              ,Regime,01/10/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,105,12,26,4.87
102,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,14.67,4,51,10,3,4.73
103,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,25.67,1,23,19,2.33,4.96
104,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,29.33,6,94,20,6,4.29
105,Mestre              ,Aulista,02/02/2009,10,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,17.67,2,32,6,6,3.93
106,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,11,231,30,5,4.67
107,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,7,1,30,5,0,3.79
108,Doutor              ,Aulista,01/02/2006,13,PROF. ADJUNTO IV,Regime de Tempo Parcial,30.67,5,122,18,5,4.64
109,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,86,9,29.5,4.53
110,Mestre              ,Aulista,01/08/2001,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,5,340,29,6.17,4.55
111,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Horista,26.83,6,296,23,0,4.72
112,Doutor              ,Aulista,02/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,148,17,20.16,3.08
113,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,4.67,1,19,4,0,3.57
114,Doutor              ,Aulista,02/08/2004,14,PROF. ADJUNTO IV,Regime de Tempo Parcial,31,5,162,24,3,3.41
115,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Regime de Tempo Parcial,23.33,6,121,20,0,3.35
116,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Horista,15.67,5,211,25,0.5,4.22
117,Mestre              ,Aulista,01/04/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.02,3,167,14,6.5,4.53
118,Mestre              ,Aulista,06/02/2002,17,PROF.  ASSISTENTE IV,Horista,24.5,4,156,21,0,4.5
119,Doutor              ,Aulista,03/08/2004,14,PROF. ADJUNTO IV,Regime de Tempo Parcial,35.5,6,150,23,8.67,4.73
120,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Parcial,19.5,9,122,16,2,3.82
121,Doutor              ,Regime,01/02/2006,13,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,20,8,30.67,2.82
122,Mestre              ,Aulista,01/02/2013,6,PROF.  ASSISTENTE I,Horista,6.67,2,40,4,2,2.8
123,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,1,29,2,33,2.99
124,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,4,85,14,0,3.58
125,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,36.83,6,253,23,10,4.72
126,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Horista,9.33,3,108,8,0,4.09
127,Mestre              ,Aulista,02/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,177,44,16.67,4.57
128,Doutor              ,Aulista,05/02/2005,14,PROF. ADJUNTO IV,Horista,14,3,113,12,0,4.72
129,Mestre              ,Regime,01/03/2000,19,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,29.17,6,190,33,0,4.21
130,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Horista,18.67,4,102,16,0,3.9
131,Doutor              ,Aulista,02/02/2009,10,PROF. ADJUNTO IV,Regime de Tempo Parcial,28.5,6,163,22,7.5,4.02
132,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,87,12,26,4.69
133,Mestre              ,Aulista,01/08/2012,6,PROF.  ASSISTENTE I,Regime de Tempo Integral,40,3,121,10,28.3,4.3
134,Mestre              ,Aulista,01/08/2011,7,PROF.  ASSISTENTE II,Horista,14,5,74,28,0,4.03
135,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Horista,26.83,4,391,24,0,3.28
136,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,60,8,0,2.78
137,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,189,22,23.67,3.97
138,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,6,113,20,16.67,4.49
139,Doutor              ,Aulista,01/08/2001,17,PROF. ADJUNTO IV,Regime de Tempo Integral,40,7,146,22,5,4.36
140,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,9.33,2,76,8,0,4.75
141,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,14,8,0,3.34
142,Especialista        ,Aulista,01/03/2000,19,PROF.  ASSISTENTE II,Regime de Tempo Parcial,35,11,183,32,0,4.31
143,Doutor              ,Aulista,02/08/2004,14,PROF. ADJUNTO IV,Horista,9.33,1,76,8,0,4.4
144,Mestre              ,Aulista,04/08/2008,10,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,162,20,16.67,3.76
145,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Regime de Tempo Integral,40,4,225,18,19,3.58
146,Mestre              ,Aulista,07/02/2008,11,PROF.  ASSISTENTE IV,Horista,18.67,2,221,32,0,4.28
147,Mestre              ,Aulista,02/02/2009,10,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,237,18,19,3.19
148,Mestre              ,Aulista,01/02/2006,13,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,24.5,5,109,15,7,4.17
149,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,1,91,8,0,4.27
150,Mestre              ,Aulista,01/03/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,28,8,182,96,0,3.91
151,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,4,133,12,0,4.38
152,Doutor              ,Regime,16/08/2004,14,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,39,9,29.5,4.35
153,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,18.67,4,170,16,0,4.51
154,Mestre              ,Aulista,01/08/2007,11,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,233,30,6.17,4.63
155,Doutor              ,Aulista,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,39.67,6,296,52,7,3.86
156,Mestre              ,Aulista,03/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,30.67,1,34,4,26,3.69
157,Mestre              ,Aulista,01/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,182,29,7.33,4.57
158,Doutor              ,Aulista,01/02/2016,3,PROF. ADJUNTO I,Regime de Tempo Parcial,22.17,4,238,19,0,3.72
159,Doutor              ,Aulista,03/02/2003,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,67,8,30.67,4.58
160,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,39.83,5,306,42,9.5,4.39
161,Mestre              ,Aulista,02/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,107,13,26,4.76
162,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Horista,3.5,1,8,3,0,2.9
163,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,3.5,2,74,3,0,4.7
164,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,6,98,18,19,2.74
165,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Parcial,22,2,46,12,8,2.79
166,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,3,48,12,0,3.42
167,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Regime de Tempo Parcial,14,4,108,12,0,4.67
168,Mestre              ,Aulista,02/02/2015,4,PROF.  ASSISTENTE I,Horista,28,4,102,24,0,3.91
169,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,4.67,1,25,4,0,4.8
170,Mestre              ,Aulista,02/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,39.67,4,333,22,14,4.74
171,Doutor              ,Aulista,07/02/2008,11,PROF. ADJUNTO IV,Regime de Tempo Integral,40,6,124,24,16.67,3.96
172,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,25.33,6,131,28,2,4.06
173,Mestre              ,Aulista,02/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,4,110,24,12,4.86
174,Doutor              ,Aulista,01/02/2002,17,PROF. ADJUNTO IV,Regime de Tempo Parcial,16.5,4,39,10,4.83,4.01
175,Mestre              ,Aulista,02/08/2006,12,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,40,11,394,29,5.93,4.27
176,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,5,149,20,16.67,3.82
177,Mestre              ,Aulista,01/04/2001,18,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,33,8,272,28,5,3.62
178,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,23.33,3,191,20,0,4.38
179,Mestre              ,Aulista,02/08/2001,17,PROF.  ASSISTENTE IV,Horista,25.67,6,157,22,0,4.43
180,Mestre              ,Aulista,01/08/2002,16,PROF.  ASSISTENTE IV,Horista,26.83,4,88,11,0,3.94
181,Especialista        ,Aulista,01/08/2000,18,PROF.  ASSISTENTE II,Horista,16.33,5,132,14,0,3.72
182,Mestre              ,Aulista,04/02/2016,3,PROF.  ASSISTENTE I,Horista,11.67,3,58,10,0,4.45
183,Doutor              ,Aulista,01/04/2000,19,PROF. ADJUNTO IV,Regime de Tempo Integral,40,8,232,34,9.67,3.92
184,Doutor              ,Aulista,01/08/2002,16,PROF. ADJUNTO IV,Horista,4.33,1,38,2,2,4.32
185,Mestre              ,Regime,01/03/2002,17,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,3,95,12,26,3.7
186,Doutor              ,Regime,01/08/2003,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,3,139,11,27.17,4.43
187,Doutor              ,Aulista,02/08/2004,14,PROF. ADJUNTO IV,Regime de Tempo Parcial,22,3,29,18,1,4.94
188,Doutor              ,Regime,03/08/2015,3,PROF. ADJUNTO I,Regime de Tempo Integral,40,5,208,15,21.68,4.56
189,Mestre              ,Aulista,13/08/2004,14,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,35.33,6,144,16,16.67,3.77
190,Doutor              ,Aulista,01/08/2007,11,PROF. ADJUNTO IV,Horista,20.17,4,199,16,1.5,4.71
191,Mestre              ,Aulista,01/08/2005,13,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,20.5,1,38,3,17,4.82
192,Doutor              ,Aulista,01/02/2006,13,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,12,11,27.17,4.86
193,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,10.5,3,83,10,0,4.06
194,Especialista        ,Aulista,01/02/2016,3,PROF.  AUXILIAR I,Horista,4.67,1,5,4,0,4.85
195,Doutor              ,Aulista,02/02/2009,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,83,14,23.67,4.51
196,Mestre              ,Aulista,01/08/2012,6,PROF.  ASSISTENTE I,Horista,21,3,185,18,0,4.42
197,Doutor              ,Regime,02/02/2009,10,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,81,8,30.66,4.34
198,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,7,1,16,6,0,3.87
199,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,18.67,4,221,16,0,4.06
200,Doutor              ,Aulista,03/08/2006,12,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,70,12,26,4.53
201,Mestre              ,Aulista,01/08/2013,5,PROF.  ASSISTENTE I,Regime de Tempo Parcial,40,8,221,28,7.33,4.53
202,Especialista        ,Aulista,01/08/2003,15,PROF.  ASSISTENTE II,Regime de Tempo Integral,40,6,147,22,14.33,4.82
203,Mestre              ,Aulista,18/02/2016,3,PROF.  ASSISTENTE I,Horista,4.67,1,28,4,0,4.04
204,Especialista        ,Aulista,01/08/2007,11,PROF.  ASSISTENTE II,Horista,17.5,4,52,11,0,4.03
205,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,62,8,0,3.37
206,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,9.33,2,50,8,0,4.66
207,Especialista        ,Aulista,03/08/2004,14,PROF.  ASSISTENTE II,Horista,9.33,2,106,8,0,2.62
208,Mestre              ,Aulista,03/02/2004,15,PROF.  ASSISTENTE IV,Horista,32.67,8,231,36,0,4.74
209,Doutor              ,Aulista,01/02/2001,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,2,124,16,30.67,4.66
210,Mestre              ,Aulista,28/07/2014,4,PROF.  ASSISTENTE I,Horista,9.33,1,38,8,0,4.44
211,Doutor              ,Aulista,01/08/2006,12,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,52,12,26,4.55
212,Mestre              ,Aulista,01/02/2016,3,PROF.  ASSISTENTE I,Horista,14,3,129,12,0,4.28
213,Doutor              ,Aulista,02/02/2004,15,PROF. ADJUNTO IV,Regime de Tempo Integral,40,4,99,12,26,3.93
214,Mestre              ,Aulista,08/02/2003,16,PROF.  ASSISTENTE IV,Regime de Tempo Parcial,37.33,7,194,35,10,3.16
215,Mestre              ,Aulista,02/02/2004,15,PROF.  ASSISTENTE IV,Regime de Tempo Integral,40,4,167,40,16.67,4
216,Doutor              ,Aulista,02/08/2002,16,PROF. ADJUNTO IV,Regime de Tempo Integral,40,1,37,4,30.67,4.57
217,Doutor              ,Aulista,01/02/2012,7,PROF. ADJUNTO IV,Regime de Tempo Integral,40,7,108,36,19,4.45
218,Doutor              ,Aulista,01/08/2013,5,PROF. ADJUNTO I,Regime de Tempo Parcial,14,2,45,12,0,4.79
219,Doutor              ,Aulista,01/08/2000,18,PROF. ADJUNTO IV,Regime de Tempo Integral,40,5,150,28,16.67,3.01
